age,annual_income_usd,savings_rate_pct,debt_to_income_ratio,investment_horizon_years,investment_experience,investment_goal,risk_tier
57,90000,0.0,0.21,20,Intermediate,Income,Medium
34,60000,17.6,0.39,15,Intermediate,Wealth building,Medium
64,75000,15.8,0.37,25,Advanced,Emergency fund,Medium
24,75000,10.5,0.23,10,Intermediate,Emergency fund,Medium
54,75000,7.7,0.36,25,Beginner,Education,Medium
27,90000,16.5,0.25,20,Beginner,Retirement,Medium
31,45000,5.9,0.05,20,Advanced,Wealth building,Medium
26,140000,5.4,0.42,10,Intermediate,Education,Medium
44,30000,4.4,0.14,5,Beginner,Education,Medium
31,60000,12.4,0.41,15,Intermediate,Income,Medium
65,30000,9.3,0.33,20,Intermediate,Emergency fund,Medium
23,75000,10.9,0.27,5,Advanced,Retirement,Medium
34,75000,18.2,0.0,30,Beginner,Wealth building,High
61,75000,21.7,0.51,30,Intermediate,Retirement,High
23,45000,25.6,0.23,20,Advanced,Emergency fund,High
41,90000,14.5,0.38,30,Beginner,Wealth building,Medium
22,30000,16.8,0.26,10,Beginner,Emergency fund,Medium
58,110000,15.5,0.24,5,Advanced,Income,Low
30,140000,0.6,0.31,5,Intermediate,Emergency fund,Medium
38,60000,11.0,0.28,20,Intermediate,Retirement,Medium
30,75000,11.1,0.24,5,Intermediate,Retirement,Medium
32,60000,9.9,0.27,30,Beginner,Education,High
36,30000,13.7,0.34,10,Advanced,Retirement,Medium
45,75000,12.2,0.35,15,Beginner,Retirement,Medium
59,110000,6.1,0.29,25,Beginner,Retirement,Medium
56,90000,12.8,0.37,10,Beginner,Wealth building,Low
51,45000,8.9,0.22,10,Beginner,Retirement,Medium
52,110000,0.0,0.61,20,Advanced,Income,Medium
26,75000,2.8,0.5,10,Intermediate,Income,Medium
65,110000,14.7,0.39,10,Advanced,Income,Medium
35,90000,22.7,0.0,10,Intermediate,Retirement,Medium
32,75000,0.0,0.37,20,Intermediate,Income,Medium
30,45000,7.0,0.23,30,Intermediate,Income,High
55,45000,17.5,0.13,25,Advanced,Income,Medium
33,180000,21.0,0.23,15,Intermediate,Emergency fund,High
56,60000,10.6,0.15,15,Beginner,Emergency fund,Medium
56,180000,8.5,0.36,15,Beginner,Retirement,Medium
22,75000,23.8,0.52,30,Beginner,Education,High
61,45000,20.4,0.4,10,Intermediate,Retirement,Low
43,45000,20.9,0.69,15,Advanced,Retirement,Medium
50,60000,10.3,0.05,25,Beginner,Income,Medium
29,140000,22.9,0.2,30,Beginner,Wealth building,High
32,75000,0.0,0.14,10,Beginner,Retirement,Medium
62,75000,23.0,0.46,10,Intermediate,Income,Medium
58,60000,13.5,0.25,10,Beginner,Income,Low
35,45000,15.0,0.31,5,Beginner,Retirement,Medium
51,75000,6.4,0.38,20,Beginner,Education,Medium
56,45000,0.0,0.06,20,Intermediate,Wealth building,Medium
42,110000,14.9,0.19,20,Intermediate,Wealth building,Medium
58,60000,18.4,0.43,5,Intermediate,Retirement,Low
26,60000,19.6,0.2,5,Beginner,Retirement,Medium
40,75000,18.8,0.02,10,Intermediate,Retirement,Medium
35,75000,16.9,0.14,15,Beginner,Retirement,Medium
47,180000,6.6,0.24,25,Beginner,Income,Medium
25,75000,20.1,0.31,10,Intermediate,Emergency fund,Medium
46,45000,5.7,0.27,5,Beginner,Education,Low
66,90000,22.9,0.19,15,Intermediate,Emergency fund,Medium
63,45000,13.3,0.42,15,Beginner,Retirement,Low
46,30000,13.6,0.26,15,Beginner,Income,Medium
39,180000,20.9,0.31,25,Advanced,Education,High
61,110000,22.0,0.2,5,Intermediate,Retirement,Medium
29,180000,20.2,0.51,25,Intermediate,Retirement,High
60,75000,7.4,0.22,15,Advanced,Emergency fund,Low
61,75000,20.1,0.29,15,Intermediate,Emergency fund,Medium
35,45000,7.5,0.44,30,Intermediate,Education,High
53,60000,20.3,0.32,10,Intermediate,Retirement,Medium
59,110000,2.6,0.32,20,Beginner,Retirement,Low
54,60000,13.3,0.0,10,Beginner,Wealth building,Medium
44,110000,7.4,0.38,20,Intermediate,Emergency fund,Medium
36,90000,21.0,0.29,25,Beginner,Retirement,High
54,45000,22.9,0.36,30,Beginner,Wealth building,Medium
46,75000,15.6,0.31,25,Beginner,Wealth building,Medium
38,90000,15.3,0.2,20,Beginner,Emergency fund,Medium
54,60000,19.6,0.41,10,Beginner,Retirement,Low
23,110000,23.0,0.31,20,Beginner,Wealth building,High
35,75000,14.3,0.09,25,Beginner,Education,High
61,45000,10.0,0.48,5,Beginner,Income,Low
61,90000,19.2,0.07,15,Intermediate,Retirement,Medium
60,180000,0.0,0.42,25,Beginner,Retirement,Medium
27,45000,21.3,0.5,20,Advanced,Income,High
27,110000,8.3,0.11,15,Advanced,Wealth building,High
24,60000,12.1,0.26,25,Intermediate,Emergency fund,High
28,110000,21.3,0.25,10,Intermediate,Emergency fund,Medium
29,90000,10.7,0.25,10,Beginner,Retirement,Medium
63,60000,19.2,0.55,20,Beginner,Emergency fund,Low
36,60000,23.1,0.12,15,Advanced,Emergency fund,High
50,110000,14.9,0.23,25,Beginner,Wealth building,Medium
54,75000,16.5,0.51,10,Advanced,Retirement,Medium
51,90000,13.0,0.23,10,Intermediate,Income,Medium
60,45000,14.9,0.14,10,Beginner,Wealth building,Low
48,110000,5.1,0.32,30,Intermediate,Emergency fund,Medium
57,90000,11.7,0.4,15,Intermediate,Education,Medium
50,140000,3.7,0.22,15,Beginner,Wealth building,Medium
59,45000,6.8,0.36,5,Beginner,Education,Low
54,90000,0.0,0.07,10,Intermediate,Income,Low
58,90000,16.1,0.08,15,Intermediate,Wealth building,Medium
48,60000,27.5,0.21,5,Beginner,Wealth building,Medium
54,75000,10.4,0.37,20,Beginner,Income,Medium
25,30000,21.7,0.39,15,Advanced,Retirement,Medium
43,90000,23.0,0.1,25,Intermediate,Retirement,High
23,75000,4.4,0.39,20,Intermediate,Income,Medium
31,30000,6.1,0.3,15,Advanced,Education,Medium
26,90000,21.9,0.15,10,Beginner,Income,High
31,75000,13.3,0.08,25,Intermediate,Retirement,High
54,30000,3.7,0.31,25,Advanced,Retirement,Medium
59,180000,8.9,0.47,10,Intermediate,Retirement,Low
34,140000,17.4,0.29,30,Beginner,Emergency fund,High
52,75000,7.6,0.14,5,Beginner,Emergency fund,Low
57,45000,0.0,0.0,5,Intermediate,Wealth building,Low
66,90000,11.4,0.51,10,Beginner,Retirement,Low
45,75000,12.1,0.44,30,Advanced,Emergency fund,High
36,60000,14.1,0.33,20,Beginner,Wealth building,Medium
50,75000,24.1,0.5,25,Beginner,Retirement,Medium
29,75000,14.4,0.31,10,Beginner,Income,Medium
26,75000,15.9,0.2,20,Intermediate,Retirement,High
50,75000,22.4,0.36,15,Advanced,Emergency fund,Medium
25,90000,14.1,0.16,25,Intermediate,Education,High
33,140000,31.1,0.13,5,Advanced,Wealth building,High
66,60000,3.9,0.4,10,Beginner,Retirement,Low
23,90000,6.5,0.41,10,Beginner,Retirement,Medium
48,140000,18.9,0.09,25,Advanced,Education,High
52,75000,24.0,0.09,15,Advanced,Retirement,Medium
57,75000,12.4,0.21,15,Advanced,Emergency fund,Medium
57,90000,5.9,0.17,15,Intermediate,Income,Medium
47,90000,28.1,0.35,30,Beginner,Income,High
64,110000,7.7,0.29,25,Beginner,Wealth building,Medium
48,75000,16.7,0.45,25,Advanced,Education,High
26,180000,24.5,0.33,15,Beginner,Income,High
41,30000,10.5,0.18,10,Beginner,Wealth building,Low
32,30000,9.0,0.0,30,Intermediate,Retirement,High
31,90000,9.6,0.31,15,Beginner,Retirement,Medium
61,60000,21.2,0.02,10,Advanced,Retirement,Medium
59,60000,22.5,0.18,15,Beginner,Education,Medium
27,60000,14.3,0.17,30,Intermediate,Wealth building,High
29,60000,29.1,0.2,15,Intermediate,Education,Medium
44,30000,14.3,0.08,20,Intermediate,Education,High
47,180000,24.3,0.17,25,Intermediate,Emergency fund,High
67,60000,10.5,0.45,15,Beginner,Emergency fund,Medium
64,90000,32.7,0.45,10,Intermediate,Retirement,Medium
33,110000,26.6,0.51,30,Intermediate,Education,High
47,140000,13.0,0.28,30,Intermediate,Wealth building,High
34,30000,25.5,0.32,25,Beginner,Wealth building,High
61,110000,25.1,0.45,20,Beginner,Retirement,Medium
39,75000,26.4,0.06,15,Beginner,Income,Medium
46,90000,0.0,0.4,30,Intermediate,Income,Medium
54,90000,19.8,0.48,10,Beginner,Wealth building,Low
61,110000,18.3,0.15,25,Advanced,Wealth building,High
64,60000,17.8,0.49,30,Intermediate,Emergency fund,Medium
33,90000,15.7,0.59,20,Intermediate,Retirement,High
65,75000,16.0,0.4,25,Advanced,Retirement,Medium
57,110000,24.3,0.37,25,Beginner,Emergency fund,Medium
25,180000,18.3,0.11,10,Advanced,Retirement,High
26,60000,15.7,0.44,20,Intermediate,Wealth building,Medium
58,180000,23.1,0.13,5,Advanced,Wealth building,Medium
29,45000,17.3,0.34,20,Advanced,Wealth building,Medium
63,30000,18.1,0.35,10,Beginner,Retirement,Low
49,30000,28.9,0.0,15,Beginner,Wealth building,Medium
52,60000,10.5,0.34,25,Intermediate,Retirement,Medium
30,90000,1.9,0.67,30,Intermediate,Wealth building,High
50,30000,14.6,0.0,15,Beginner,Emergency fund,Medium
35,30000,15.7,0.27,20,Beginner,Income,Medium
61,140000,19.8,0.0,20,Beginner,Retirement,Medium
62,110000,14.9,0.15,30,Intermediate,Education,Medium
43,110000,20.0,0.0,15,Advanced,Retirement,High
32,140000,34.0,0.3,20,Intermediate,Wealth building,High
44,90000,20.4,0.4,30,Intermediate,Wealth building,High
22,45000,21.8,0.34,15,Beginner,Wealth building,Medium
67,75000,13.0,0.14,30,Beginner,Emergency fund,Medium
58,90000,2.9,0.19,30,Intermediate,Wealth building,Medium
42,60000,0.0,0.32,30,Advanced,Retirement,Medium
47,90000,9.9,0.15,10,Beginner,Education,Medium
67,30000,0.0,0.08,15,Intermediate,Retirement,Low
57,60000,18.1,0.24,25,Advanced,Retirement,Medium
44,75000,10.9,0.14,15,Advanced,Retirement,Medium
22,90000,3.5,0.34,20,Beginner,Retirement,Medium
61,75000,15.0,0.47,10,Beginner,Wealth building,Low
36,90000,8.1,0.67,5,Beginner,Wealth building,Low
42,30000,17.6,0.33,15,Intermediate,Retirement,Medium
30,45000,19.7,0.38,20,Advanced,Retirement,Medium
30,110000,8.4,0.19,15,Beginner,Emergency fund,Medium
31,90000,12.1,0.2,20,Beginner,Education,High
47,45000,15.7,0.47,20,Advanced,Income,Medium
62,110000,2.7,0.24,20,Intermediate,Income,Medium
56,60000,15.7,0.29,20,Advanced,Income,Medium
46,75000,2.6,0.46,15,Beginner,Education,Low
47,45000,18.5,0.24,15,Intermediate,Emergency fund,Medium
32,90000,10.5,0.51,10,Beginner,Retirement,Medium
59,90000,2.5,0.37,20,Beginner,Emergency fund,Low
23,60000,9.4,0.35,20,Intermediate,Retirement,High
28,110000,9.7,0.18,15,Beginner,Education,Medium
39,75000,22.5,0.36,15,Beginner,Wealth building,Medium
48,60000,15.4,0.22,25,Advanced,Emergency fund,High
55,45000,6.3,0.35,5,Beginner,Retirement,Low
48,60000,27.2,0.26,30,Intermediate,Wealth building,High
38,30000,19.0,0.43,5,Beginner,Retirement,Medium
64,90000,11.3,0.28,30,Advanced,Retirement,Medium
65,110000,1.6,0.59,15,Beginner,Wealth building,Low
45,75000,10.6,0.24,15,Intermediate,Retirement,Medium
46,60000,12.2,0.2,10,Beginner,Wealth building,Medium
28,30000,17.0,0.33,5,Intermediate,Wealth building,Medium
27,60000,18.9,0.44,10,Intermediate,Education,Medium
45,75000,20.5,0.44,10,Beginner,Wealth building,Low
54,90000,1.1,0.31,20,Beginner,Wealth building,Medium
50,45000,15.7,0.33,15,Advanced,Income,Medium
64,90000,12.7,0.33,25,Advanced,Wealth building,Medium
43,110000,35.4,0.12,10,Beginner,Wealth building,High
47,75000,14.5,0.43,30,Beginner,Wealth building,High
49,110000,9.0,0.09,20,Beginner,Education,Medium
42,75000,14.9,0.12,10,Beginner,Retirement,Medium
28,90000,13.9,0.29,15,Advanced,Wealth building,High
38,75000,0.0,0.23,10,Intermediate,Education,Low
41,75000,17.3,0.4,10,Intermediate,Retirement,Medium
62,60000,11.5,0.35,20,Advanced,Education,Medium
41,60000,13.8,0.3,20,Intermediate,Wealth building,Medium
43,60000,7.0,0.11,30,Intermediate,Wealth building,High
49,75000,5.2,0.28,20,Beginner,Education,Medium
61,45000,21.0,0.27,30,Beginner,Retirement,Medium
28,140000,22.9,0.31,30,Intermediate,Education,High
22,90000,17.3,0.22,25,Beginner,Income,High
53,75000,0.0,0.36,20,Beginner,Wealth building,Medium
34,45000,17.9,0.23,10,Beginner,Income,Medium
51,140000,0.0,0.34,10,Beginner,Retirement,Low
44,110000,8.7,0.4,20,Intermediate,Education,Medium
40,90000,20.9,0.2,15,Intermediate,Retirement,Medium
53,60000,19.3,0.16,10,Beginner,Retirement,Medium
51,75000,17.7,0.35,15,Beginner,Retirement,Medium
50,45000,24.5,0.08,5,Intermediate,Retirement,Medium
66,45000,18.5,0.45,25,Beginner,Retirement,Medium
50,110000,0.0,0.28,5,Intermediate,Income,Low
51,90000,11.0,0.26,20,Intermediate,Education,Medium
37,90000,13.7,0.36,25,Beginner,Retirement,Medium
61,140000,12.7,0.35,10,Intermediate,Retirement,Medium
40,90000,9.1,0.28,20,Intermediate,Education,Medium
39,75000,5.8,0.41,25,Beginner,Wealth building,Medium
22,60000,33.2,0.18,10,Beginner,Retirement,High
35,140000,10.9,0.39,10,Advanced,Wealth building,Medium
23,45000,32.8,0.12,15,Beginner,Wealth building,High
49,140000,4.9,0.36,20,Advanced,Retirement,Medium
51,110000,19.3,0.23,20,Intermediate,Emergency fund,Medium
59,45000,15.8,0.08,10,Beginner,Emergency fund,Medium
25,75000,6.6,0.32,15,Beginner,Retirement,Medium
22,110000,10.3,0.27,10,Intermediate,Income,Medium
29,75000,13.9,0.05,25,Intermediate,Wealth building,High
50,140000,7.2,0.0,15,Intermediate,Retirement,Medium
60,140000,12.0,0.26,25,Advanced,Retirement,Medium
24,75000,0.0,0.52,15,Advanced,Retirement,Medium
53,60000,19.7,0.33,25,Beginner,Wealth building,Medium
31,140000,23.8,0.18,20,Advanced,Retirement,High
31,90000,17.6,0.44,20,Advanced,Wealth building,High
40,45000,32.1,0.42,15,Advanced,Retirement,Medium
67,30000,19.5,0.47,25,Intermediate,Emergency fund,Medium
55,75000,23.1,0.38,15,Intermediate,Education,Medium
54,140000,23.9,0.41,15,Intermediate,Wealth building,Medium
44,110000,0.0,0.39,20,Beginner,Emergency fund,Medium
49,90000,17.4,0.21,25,Advanced,Income,High
53,45000,2.9,0.03,20,Beginner,Emergency fund,Medium
28,60000,4.6,0.2,15,Beginner,Wealth building,Medium
50,110000,5.9,0.45,20,Advanced,Wealth building,Medium
29,45000,11.5,0.22,20,Beginner,Education,High
22,60000,19.2,0.26,30,Advanced,Retirement,High
24,45000,17.5,0.11,25,Intermediate,Retirement,High
45,90000,13.9,0.2,20,Beginner,Wealth building,Medium
44,140000,19.8,0.28,15,Intermediate,Emergency fund,Medium
29,60000,20.3,0.35,25,Intermediate,Education,High
58,75000,17.5,0.21,20,Intermediate,Retirement,Medium
24,90000,0.2,0.2,30,Advanced,Retirement,High
54,180000,8.1,0.41,10,Advanced,Income,Low
49,45000,14.2,0.33,5,Beginner,Retirement,Low
29,75000,19.9,0.35,5,Beginner,Retirement,Medium
55,75000,3.4,0.51,20,Advanced,Wealth building,Medium
56,110000,13.9,0.2,30,Intermediate,Education,High
53,75000,1.5,0.27,5,Beginner,Education,Low
45,45000,22.2,0.36,25,Advanced,Income,High
35,90000,15.9,0.15,20,Advanced,Retirement,High
53,110000,3.2,0.31,25,Intermediate,Wealth building,Medium
67,30000,3.2,0.28,15,Intermediate,Retirement,Low
64,110000,17.1,0.7,25,Intermediate,Education,Medium
37,45000,25.0,0.29,5,Intermediate,Wealth building,Medium
25,75000,5.2,0.45,25,Advanced,Retirement,High
58,75000,20.3,0.4,10,Advanced,Emergency fund,Low
42,90000,9.7,0.11,15,Intermediate,Wealth building,Medium
35,60000,20.6,0.05,25,Intermediate,Wealth building,High
52,110000,19.5,0.32,10,Advanced,Education,Medium
39,90000,15.2,0.47,10,Beginner,Retirement,Medium
28,90000,0.0,0.32,20,Beginner,Retirement,Medium
31,110000,19.4,0.29,20,Advanced,Retirement,High
28,90000,18.0,0.24,20,Beginner,Retirement,High
54,30000,17.3,0.08,10,Beginner,Retirement,Low
44,75000,15.6,0.14,5,Beginner,Emergency fund,Medium
42,140000,7.0,0.04,15,Beginner,Retirement,Medium
40,45000,22.7,0.11,10,Beginner,Income,Medium
40,90000,21.2,0.2,30,Beginner,Retirement,High
57,180000,5.4,0.4,5,Advanced,Retirement,Medium
50,30000,24.5,0.21,15,Intermediate,Retirement,Medium
39,90000,15.1,0.32,5,Intermediate,Education,Medium
23,75000,15.0,0.3,5,Beginner,Wealth building,Medium
22,75000,12.6,0.35,20,Intermediate,Education,High
26,45000,13.4,0.12,20,Intermediate,Education,Medium
41,30000,25.0,0.44,5,Intermediate,Income,Medium
32,90000,22.3,0.07,5,Beginner,Education,Medium
63,110000,22.1,0.21,5,Intermediate,Retirement,Medium
23,110000,15.5,0.28,25,Advanced,Education,High
24,75000,21.1,0.39,20,Intermediate,Income,High
44,45000,7.3,0.49,5,Intermediate,Income,Low
33,90000,18.7,0.4,20,Intermediate,Retirement,High
41,60000,12.8,0.49,25,Intermediate,Emergency fund,Medium
26,140000,0.0,0.16,25,Intermediate,Retirement,High
58,110000,1.3,0.46,30,Beginner,Retirement,Medium
59,90000,8.7,0.43,15,Intermediate,Emergency fund,Medium
51,140000,17.3,0.0,10,Advanced,Income,Medium
30,30000,8.7,0.25,10,Intermediate,Wealth building,Medium
55,90000,9.3,0.37,25,Beginner,Education,Medium
65,60000,20.1,0.2,30,Beginner,Retirement,Medium
56,140000,9.6,0.12,15,Intermediate,Retirement,Medium
43,60000,24.6,0.6,15,Advanced,Wealth building,Medium
65,90000,23.3,0.3,15,Intermediate,Wealth building,Medium
45,110000,14.2,0.3,15,Intermediate,Education,Medium
38,30000,20.0,0.08,10,Beginner,Retirement,Medium
31,75000,18.9,0.19,20,Intermediate,Wealth building,High
51,110000,12.0,0.15,5,Intermediate,Wealth building,Medium
67,75000,20.9,0.44,10,Advanced,Retirement,Low
44,60000,22.1,0.36,20,Beginner,Income,Medium
53,60000,6.4,0.19,5,Intermediate,Wealth building,Low
38,45000,15.2,0.36,5,Intermediate,Wealth building,Medium
38,110000,15.1,0.24,15,Intermediate,Education,Medium
35,75000,20.8,0.32,25,Advanced,Retirement,High
30,30000,10.4,0.31,25,Beginner,Education,Medium
61,75000,9.2,0.34,5,Beginner,Retirement,Low
23,60000,15.4,0.32,20,Intermediate,Retirement,High
66,45000,23.5,0.34,10,Intermediate,Income,Medium
46,75000,4.4,0.47,20,Beginner,Education,Medium
60,60000,5.8,0.38,25,Intermediate,Wealth building,Medium
30,60000,9.8,0.23,25,Intermediate,Emergency fund,High
43,90000,11.3,0.27,15,Advanced,Income,Medium
64,60000,0.0,0.46,30,Beginner,Retirement,Medium
67,90000,26.0,0.3,30,Advanced,Retirement,High
25,75000,13.0,0.22,30,Beginner,Wealth building,High
47,75000,11.8,0.19,20,Beginner,Retirement,Medium
50,90000,27.0,0.32,15,Beginner,Retirement,Medium
66,75000,19.7,0.15,15,Advanced,Education,Medium
55,110000,9.7,0.47,5,Beginner,Retirement,Low
44,90000,15.3,0.12,10,Intermediate,Education,Medium
58,75000,13.7,0.5,25,Intermediate,Wealth building,Medium
32,110000,25.6,0.24,20,Advanced,Wealth building,High
27,90000,12.7,0.12,30,Advanced,Emergency fund,High
39,60000,2.5,0.31,5,Intermediate,Wealth building,Low
42,60000,0.0,0.14,10,Advanced,Retirement,Low
63,45000,25.8,0.29,25,Intermediate,Retirement,Medium
57,140000,7.7,0.19,15,Advanced,Education,Medium
62,90000,19.4,0.42,10,Beginner,Retirement,Low
59,140000,14.6,0.3,30,Beginner,Retirement,Medium
55,90000,10.7,0.1,25,Intermediate,Income,Medium
38,75000,11.9,0.19,15,Intermediate,Income,Medium
58,30000,26.7,0.39,25,Intermediate,Wealth building,High
46,90000,2.4,0.47,20,Intermediate,Retirement,Medium
59,90000,10.9,0.27,25,Beginner,Emergency fund,Medium
33,180000,21.3,0.12,25,Intermediate,Education,High
44,60000,3.7,0.44,5,Beginner,Retirement,Low
63,75000,24.5,0.39,20,Advanced,Retirement,Medium
43,90000,21.1,0.48,5,Advanced,Education,Medium
42,90000,16.2,0.32,5,Advanced,Income,Medium
48,75000,10.0,0.2,30,Beginner,Education,Medium
52,110000,2.7,0.36,20,Intermediate,Retirement,Medium
27,60000,19.7,0.33,25,Advanced,Wealth building,High
48,90000,36.0,0.19,25,Advanced,Emergency fund,High
61,90000,15.2,0.31,30,Intermediate,Retirement,Medium
55,140000,0.0,0.25,25,Intermediate,Retirement,Medium
33,110000,17.7,0.39,20,Intermediate,Retirement,High
66,60000,20.9,0.35,15,Intermediate,Wealth building,Medium
28,60000,6.7,0.12,10,Beginner,Wealth building,Medium
31,180000,8.8,0.11,15,Intermediate,Education,High
66,75000,8.0,0.27,15,Advanced,Education,Medium
38,140000,9.7,0.28,20,Intermediate,Income,Medium
47,45000,12.6,0.39,20,Intermediate,Education,Medium
42,90000,7.1,0.36,30,Intermediate,Retirement,High
49,110000,4.1,0.5,25,Advanced,Retirement,Medium
67,140000,15.4,0.21,20,Intermediate,Wealth building,Medium
23,60000,12.5,0.2,15,Intermediate,Retirement,Medium
64,90000,10.5,0.14,5,Intermediate,Income,Low
22,75000,14.7,0.39,15,Intermediate,Retirement,Medium
57,30000,1.8,0.28,25,Intermediate,Retirement,Medium
47,90000,16.1,0.0,10,Intermediate,Wealth building,Medium
50,90000,10.7,0.31,25,Intermediate,Wealth building,Medium
42,140000,15.9,0.32,20,Intermediate,Emergency fund,Medium
32,75000,17.2,0.26,10,Beginner,Wealth building,Medium
61,60000,23.0,0.32,10,Beginner,Retirement,Low
32,30000,14.8,0.1,20,Beginner,Retirement,Medium
57,75000,22.5,0.53,15,Advanced,Income,Medium
60,60000,11.4,0.34,25,Beginner,Retirement,Medium
61,110000,11.8,0.01,25,Beginner,Retirement,Medium
56,60000,13.3,0.28,20,Beginner,Wealth building,Medium
55,140000,20.2,0.34,25,Intermediate,Retirement,High
45,180000,19.0,0.11,20,Beginner,Wealth building,High
43,90000,15.1,0.36,30,Intermediate,Emergency fund,High
26,140000,4.2,0.53,10,Beginner,Education,Medium
54,110000,18.9,0.18,25,Advanced,Emergency fund,High
57,75000,7.1,0.34,15,Advanced,Retirement,Medium
41,45000,6.7,0.31,10,Advanced,Wealth building,Medium
40,75000,4.9,0.43,10,Intermediate,Retirement,Low
56,75000,13.3,0.26,20,Intermediate,Retirement,Medium
64,110000,23.7,0.12,10,Intermediate,Wealth building,Medium
38,75000,6.3,0.42,10,Beginner,Retirement,Medium
66,140000,27.4,0.13,30,Intermediate,Emergency fund,High
64,90000,21.3,0.55,25,Beginner,Emergency fund,Medium
55,45000,2.3,0.36,25,Intermediate,Education,Medium
30,180000,10.9,0.19,25,Beginner,Education,High
47,75000,5.7,0.45,30,Intermediate,Retirement,High
23,75000,19.3,0.28,20,Intermediate,Wealth building,High
30,90000,6.1,0.25,10,Intermediate,Retirement,Medium
30,45000,1.0,0.18,25,Advanced,Wealth building,High
61,90000,11.4,0.0,25,Intermediate,Retirement,Medium
38,75000,23.4,0.37,15,Intermediate,Retirement,Medium
22,75000,12.5,0.04,15,Intermediate,Wealth building,High
46,140000,17.2,0.16,15,Beginner,Emergency fund,Medium
64,75000,17.5,0.34,30,Intermediate,Emergency fund,Medium
61,60000,1.9,0.2,15,Advanced,Wealth building,Low
63,75000,6.8,0.3,30,Advanced,Wealth building,Medium
46,140000,14.1,0.1,30,Intermediate,Wealth building,High
60,45000,9.5,0.23,20,Beginner,Emergency fund,Medium
56,60000,27.6,0.3,20,Beginner,Retirement,Medium
24,30000,4.2,0.14,15,Intermediate,Emergency fund,Medium
58,30000,6.7,0.53,5,Advanced,Wealth building,Low
65,110000,16.3,0.18,10,Intermediate,Retirement,Medium
65,90000,9.0,0.49,25,Advanced,Retirement,Medium
51,60000,0.0,0.25,15,Intermediate,Retirement,Medium
59,90000,29.5,0.04,10,Beginner,Wealth building,Medium
55,75000,5.4,0.11,10,Beginner,Education,Medium
33,140000,18.5,0.31,30,Beginner,Retirement,High
40,180000,4.0,0.43,15,Intermediate,Wealth building,Medium
58,75000,7.1,0.55,30,Beginner,Income,Medium
65,110000,1.0,0.3,15,Intermediate,Retirement,Low
38,110000,8.1,0.1,20,Intermediate,Retirement,Medium
31,60000,8.8,0.32,5,Beginner,Retirement,Medium
33,60000,12.9,0.16,20,Beginner,Emergency fund,High
37,75000,11.0,0.34,20,Beginner,Emergency fund,Medium
45,110000,2.5,0.14,10,Intermediate,Wealth building,Medium
40,180000,9.8,0.0,20,Intermediate,Income,High
29,110000,25.6,0.48,20,Beginner,Emergency fund,High
52,110000,24.6,0.25,20,Advanced,Retirement,High
42,90000,17.6,0.29,25,Intermediate,Emergency fund,High
38,110000,19.3,0.43,15,Intermediate,Retirement,Medium
44,110000,30.5,0.56,20,Intermediate,Emergency fund,High
58,60000,18.6,0.39,30,Advanced,Retirement,High
37,75000,19.2,0.3,30,Intermediate,Emergency fund,High
27,110000,1.5,0.35,30,Intermediate,Retirement,High
29,30000,5.1,0.24,15,Beginner,Education,Medium
46,110000,13.7,0.29,25,Intermediate,Retirement,High
39,45000,7.5,0.3,20,Intermediate,Emergency fund,Medium
46,75000,6.0,0.16,5,Intermediate,Retirement,Medium
33,110000,6.9,0.28,25,Advanced,Income,High
36,60000,2.6,0.34,20,Advanced,Education,Medium
47,60000,7.7,0.36,10,Beginner,Retirement,Low
62,75000,16.7,0.35,5,Beginner,Income,Low
66,140000,28.4,0.08,25,Beginner,Wealth building,Medium
47,30000,20.4,0.46,5,Intermediate,Emergency fund,Medium
53,140000,19.1,0.45,5,Beginner,Emergency fund,Medium
31,45000,1.0,0.27,15,Beginner,Retirement,Medium
37,180000,15.0,0.35,10,Beginner,Income,Medium
28,140000,13.5,0.25,30,Beginner,Retirement,High
38,75000,16.3,0.39,15,Beginner,Retirement,Medium
44,75000,11.1,0.16,20,Beginner,Education,Medium
47,75000,27.3,0.48,30,Intermediate,Emergency fund,High
42,90000,14.4,0.39,20,Beginner,Retirement,Medium
43,45000,15.2,0.39,15,Beginner,Retirement,Medium
28,30000,0.0,0.26,25,Advanced,Emergency fund,Medium
35,30000,13.1,0.07,15,Advanced,Retirement,High
36,75000,23.2,0.41,15,Beginner,Income,Medium
28,60000,18.4,0.07,25,Beginner,Emergency fund,High
30,90000,0.0,0.41,25,Intermediate,Retirement,Medium
29,180000,10.4,0.16,25,Beginner,Wealth building,High
44,75000,27.9,0.04,30,Beginner,Wealth building,High
50,75000,12.8,0.28,25,Beginner,Wealth building,Medium
39,75000,16.6,0.46,25,Beginner,Education,Medium
52,110000,27.0,0.14,25,Intermediate,Income,High
51,140000,12.8,0.52,5,Advanced,Wealth building,Medium
60,110000,20.3,0.38,15,Intermediate,Wealth building,Medium
56,180000,17.3,0.3,25,Intermediate,Retirement,Medium
39,30000,19.0,0.21,20,Intermediate,Emergency fund,High
63,110000,17.0,0.23,10,Intermediate,Emergency fund,Medium
60,90000,9.6,0.34,15,Intermediate,Emergency fund,Medium
38,60000,10.4,0.41,15,Beginner,Retirement,Low
35,140000,7.2,0.19,20,Intermediate,Education,Medium
52,45000,0.9,0.16,25,Advanced,Retirement,Medium
45,90000,24.0,0.25,30,Beginner,Emergency fund,High
